pack_size,size,units_packs,sales_toman,cogs_toman,reported_profit_toman,last_observed_date,last_observed_price_toman
3,M,148,57743000,27864000,9040448,1405/06/31,399000
3,L,162,66630000,30630000,12286080,1405/06/31,420000
3,XL,221,96300000,41751000,20772000,1405/06/31,445000
3,2XL,186,85690000,35094000,20943040,1405/06/31,470000
3,3XL,188,89612000,35568000,23280032,1405/06/31,485000
3,4XL,16,7940000,2988000,2251040,1405/06/25,500000
4,M,28,13776000,7056000,2024736,1405/06/30,499000
4,L,42,21960000,10616000,3932490,1405/06/30,530000
4,XL,41,22630000,10356000,4636364,1405/06/29,560000
4,2XL,48,27750000,12128000,6256362,1405/06/31,585000
4,3XL,44,27170000,11120000,6880114,1405/06/31,625000
5,M,182,104850000,57090000,12373088,1405/06/31,585000
5,L,165,102860000,52205000,15939750,1405/06/31,628000
5,XL,262,173032000,82770000,31863700,1405/06/31,670000
5,2XL,219,153504000,69015000,32681308,1405/06/31,711000
5,3XL,112,83421000,35280000,19986363,1405/06/31,755000
5,4XL,61,48490000,19225000,12899625,1405/06/28,800000
6,M,20,14046000,7464000,1841468,1405/06/31,710000
6,L,32,24270000,11976000,4102859,1405/06/29,765000
6,XL,38,30400000,14436000,5703981,1405/06/29,805000
6,2XL,26,22480000,9852000,5041000,1405/06/31,870000
6,3XL,31,28630000,11658000,7309375,1405/06/31,930000
